country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
STP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,STP,STP,NLD,NLD,NLD,NLD,ESP,NGA,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ZAF,ZAF
SVK,AUT,AUT,AUT,AUT,POL,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,POL,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
SVN,AUT,AUT,AUT,AUT,HRV,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,POL,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,NLD
THA,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,IDN,IDN,TWN,IDN,IDN,IDN,HKG,HKG,IDN,TWN,IDN,IDN,TWN,SGP,SGP,HKG,SGP,THA,SGP,SGP
TUN,FRA,MAR,FRA,FRA,FRA,FRA,ITA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,ITA
TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,SAU,SAU,TUR,RUS,RUS
TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,IDN,IDN,TWN,IDN,IDN,IDN,HKG,HKG,IDN,TWN,IDN,IDN,TWN,SGP,SGP,HKG,SGP,TWN,SGP,SGP
UKR,RUS,RUS,RUS,RUS,POL,POL,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS
USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
VNM,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,IDN,IDN,TWN,IDN,IDN,IDN,HKG,HKG,IDN,TWN,IDN,IDN,TWN,KOR,KOR,KOR,KOR,KOR,KOR,KOR
ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF
